binary,hardware,size,array_size,run,task_clock_msec,cycles,instructions,branch_misses,cache_references,cache_misses,l1_dcache_loads,l1_dcache_load_misses,l2_references,l2_misses,llc_loads,llc_load_misses
fast,i7-7700,8,80000,2,29.69,96355566.0,155437652.0,577377.0,304773.0,37355.0,,,,,,
fast,i7-7700,8,80000,3,38.59,,,,,,53239542.0,85821.0,418338.0,246192.0,22949.0,1395.0
fast,i7-7700,8,80000,3,41.06,96217820.0,155522202.0,577389.0,324167.0,38891.0,,,,,,
fast,i7-7700,8,80000,4,30.05,,,,,,54684778.0,127607.0,450655.0,258721.0,18690.0,67.0
fast,i7-7700,8,80000,4,41.35,96012354.0,155507748.0,576828.0,308640.0,37780.0,,,,,,
fast,i7-7700,8,80000,5,30.72,,,,,,54703528.0,132893.0,445464.0,250192.0,16309.0,49.0
fast,i7-7700,8,80000,5,34.12,99988974.0,155490510.0,577641.0,304373.0,35654.0,,,,,,
fast,i7-7700,10,100000,1,38.64,,,,,,66829378.0,143328.0,462693.0,261433.0,13869.0,522.0
fast,i7-7700,10,100000,1,40.28,120905506.0,194872680.0,732665.0,333683.0,51401.0,,,,,,
fast,i7-7700,10,100000,2,36.4,,,,,,67698613.0,136671.0,443336.0,256339.0,7484.0,30.0
fast,i7-7700,10,100000,2,40.46,120825116.0,194982013.0,734052.0,337936.0,40538.0,,,,,,
fast,i7-7700,10,100000,3,38.02,,,,,,68063481.0,138470.0,471382.0,272051.0,12178.0,176.0
fast,i7-7700,10,100000,3,36.03,120771461.0,194957837.0,731659.0,333354.0,37970.0,,,,,,
fast,i7-7700,10,100000,4,41.19,,,,,,68528946.0,87796.0,450577.0,252615.0,23785.0,3253.0
fast,i7-7700,10,100000,4,37.1,120925305.0,194871590.0,731791.0,324667.0,38030.0,,,,,,
fast,i7-7700,10,100000,5,36.67,,,,,,69086063.0,146265.0,494974.0,285418.0,23214.0,71.0
fast,i7-7700,10,100000,5,30.12,120744635.0,194910238.0,730344.0,323867.0,37173.0,,,,,,
fast,xs-4114,1,10000,1,16.09,,,,,,6889281.0,48613.0,175117.0,56193.0,9813.0,4286.0
fast,xs-4114,1,10000,1,15.47,13073744.0,19583041.0,75820.0,52592.0,12141.0,,,,,,
fast,xs-4114,1,10000,2,13.68,,,,,,6767745.0,32309.0,180864.0,66712.0,10236.0,4260.0
fast,xs-4114,1,10000,2,15.81,13400987.0,19555237.0,78792.0,45390.0,11858.0,,,,,,
fast,xs-4114,1,10000,3,6.74,,,,,,6181524.0,73345.0,221512.0,68739.0,4369.0,6.0
fast,xs-4114,1,10000,3,8.44,13439041.0,19500869.0,74532.0,43247.0,11620.0,,,,,,
fast,xs-4114,1,10000,4,6.62,,,,,,7092584.0,62236.0,226175.0,68205.0,9783.0,664.0
fast,xs-4114,1,10000,4,9.36,13242665.0,19496851.0,75542.0,52264.0,13292.0,,,,,,
fast,xs-4114,1,10000,5,15.87,,,,,,6507422.0,45767.0,186805.0,60075.0,9499.0,3470.0
fast,xs-4114,1,10000,5,15.38,13345711.0,19603929.0,77505.0,68270.0,11554.0,,,,,,
fast,xs-4114,2,20000,1,22.88,,,,,,13053764.0,48562.0,222710.0,69446.0,9327.0,3357.0
fast,xs-4114,2,20000,1,24.47,25090495.0,37441195.0,141650.0,46456.0,11611.0,,,,,,
fast,xs-4114,2,20000,2,24.65,,,,,,12307954.0,86269.0,231481.0,75051.0,7875.0,1212.0
fast,xs-4114,2,20000,2,24.46,24259456.0,37444364.0,142017.0,45357.0,11673.0,,,,,,
fast,xs-4114,2,20000,3,21.39,,,,,,12603175.0,51984.0,224452.0,72407.0,8675.0,2374.0
fast,xs-4114,2,20000,3,14.57,24409300.0,37411416.0,142787.0,48031.0,11331.0,,,,,,
fast,xs-4114,2,20000,4,11.1,,,,,,13365721.0,76911.0,260981.0,68923.0,7499.0,543.0
fast,xs-4114,2,20000,4,16.83,24259285.0,37366315.0,142630.0,48713.0,10879.0,,,,,,
fast,xs-4114,2,20000,5,21.19,,,,,,12679962.0,44587.0,206230.0,82293.0,9837.0,4192.0
fast,xs-4114,2,20000,5,11.75,24489830.0,37317408.0,141591.0,44915.0,11080.0,,,,,,
fast,xs-4114,4,40000,1,33.79,,,,,,25005783.0,69784.0,236197.0,85939.0,8619.0,2267.0
fast,xs-4114,4,40000,1,22.47,47711834.0,75952315.0,274938.0,50102.0,11342.0,,,,,,
fast,xs-4114,4,40000,2,27.31,,,,,,26566444.0,56885.0,236063.0,108734.0,14054.0,4244.0
fast,xs-4114,4,40000,2,37.13,47389822.0,76109514.0,276136.0,62325.0,11494.0,,,,,,
fast,xs-4114,4,40000,3,25.93,,,,,,26098349.0,63020.0,277544.0,105271.0,10994.0,2554.0
fast,xs-4114,4,40000,3,28.06,48373307.0,75946411.0,279049.0,50396.0,11380.0,,,,,,
fast,xs-4114,4,40000,4,36.73,,,,,,27535942.0,65176.0,229841.0,71865.0,10654.0,3342.0
fast,xs-4114,4,40000,4,36.43,47287009.0,76077097.0,274496.0,48846.0,11761.0,,,,,,
fast,xs-4114,4,40000,5,34.95,,,,,,26010202.0,69720.0,267104.0,74306.0,8600.0,2748.0
fast,xs-4114,4,40000,5,34.21,48232209.0,76035622.0,273949.0,51610.0,11018.0,,,,,,
fast,xs-4114,6,60000,1,43.61,,,,,,39231397.0,81036.0,235232.0,68003.0,11615.0,4755.0
fast,xs-4114,6,60000,1,43.26,72717440.0,116295909.0,436357.0,72072.0,11657.0,,,,,,
fast,xs-4114,6,60000,2,45.91,,,,,,40626932.0,87390.0,244419.0,88330.0,13849.0,4363.0
fast,xs-4114,6,60000,2,46.81,72334775.0,116259315.0,426984.0,62363.0,12044.0,,,,,,
fast,xs-4114,6,60000,3,43.97,,,,,,39720624.0,74560.0,236264.0,90983.0,13527.0,4581.0
fast,xs-4114,6,60000,3,44.74,72105911.0,116358408.0,428353.0,60011.0,12341.0,,,,,,
fast,xs-4114,6,60000,4,28.78,,,,,,40668619.0,98963.0,304617.0,80129.0,9888.0,1106.0
fast,xs-4114,6,60000,4,36.63,73795111.0,116177659.0,428246.0,61502.0,11846.0,,,,,,
fast,xs-4114,6,60000,5,44.17,,,,,,40248479.0,73394.0,274199.0,114504.0,14353.0,4222.0
fast,xs-4114,6,60000,5,46.6,72377013.0,116308227.0,428913.0,61860.0,12079.0,,,,,,
fast,xs-4114,8,80000,1,54.07,,,,,,55198804.0,109596.0,350460.0,102893.0,12489.0,4115.0
fast,xs-4114,8,80000,1,53.16,96118139.0,155623668.0,576208.0,59721.0,11601.0,,,,,,
